code,coding_system,description,entity,list_name,upload_date
9SA6.00,Read,E Afric Asian/Indo-Carib (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA6.11,Read,East African Asian (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA6.12,Read,Indo-Caribbean (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA7.00,Read,Indian sub-continent (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA8.00,Read,Other Asian (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA9.00,Read,Irish (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAA.00,Read,Greek/Greek Cypriot (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAA.11,Read,Greek (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAA.12,Read,Greek Cypriot (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAB.00,Read,Turkish/Turkish Cypriot (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAB.11,Read,Turkish (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAB.12,Read,Turkish Cypriot (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAC.00,Read,Other European (NMO),test,448 - res47: Ethnicity,2016-07-25
9SAD.00,Read,Other ethnic NEC (NMO),test,448 - res47: Ethnicity,2016-07-25
9SB..00,Read,Other ethnic; mixed origin,test,448 - res47: Ethnicity,2016-07-25
9SB1.00,Read,Other ethnic; Black/White orig,test,448 - res47: Ethnicity,2016-07-25
9SB2.00,Read,Other ethnic; Asian/White orig,test,448 - res47: Ethnicity,2016-07-25
9SB3.00,Read,Other ethnic; mixed white orig,test,448 - res47: Ethnicity,2016-07-25
9SB4.00,Read,Other ethnic; other mixed orig,test,448 - res47: Ethnicity,2016-07-25
9SB5.00,Read,Black Caribbean and White,test,448 - res47: Ethnicity,2016-07-25
9SB6.00,Read,Black African and White,test,448 - res47: Ethnicity,2016-07-25
9SC..00,Read,Vietnamese,test,448 - res47: Ethnicity,2016-07-25
9SD..00,Read,Ethnic group not given - patient refused,test,448 - res47: Ethnicity,2016-07-25
9SE..00,Read,Ethnic group not recorded,test,448 - res47: Ethnicity,2016-07-25
9SG..00,Read,Other black ethnic group,test,448 - res47: Ethnicity,2016-07-25
9SH..00,Read,Other Asian ethnic group,test,448 - res47: Ethnicity,2016-07-25
9SI..00,Read,Irish traveller,test,448 - res47: Ethnicity,2016-07-25
9SJ..00,Read,Other ethnic group,test,448 - res47: Ethnicity,2016-07-25
9SZ..00,Read,Ethnic groups (census) NOS,test,448 - res47: Ethnicity,2016-07-25
9T15.00,Read,Cook Island Maori,test,448 - res47: Ethnicity,2016-07-25
9T1C.00,Read,Chinese,test,448 - res47: Ethnicity,2016-07-25
9T5..00,Read,Bulgarian,test,448 - res47: Ethnicity,2016-07-25
9T6..00,Read,Czech,test,448 - res47: Ethnicity,2016-07-25
